father,mother,midparentHeight,children,childHeight
70.5,65.0,70.35,4.0,68.5
70.5,65.0,70.35,5.0,68.0
70.5,65.0,70.35,5.0,65.0
70.5,65.0,70.35,5.0,61.5
70.5,65.0,70.35,5.0,61.0
70.5,65.0,70.35,5.0,61.0
70.0,65.0,70.1,8.0,73.0
70.0,65.0,70.1,8.0,72.0
70.0,65.0,70.1,8.0,70.5
70.0,65.0,70.1,8.0,65.0
70.0,65.0,70.1,8.0,65.0
70.0,65.0,70.1,8.0,64.5
70.0,65.0,70.1,8.0,63.0
70.0,65.0,70.1,8.0,62.0
70.0,65.0,70.1,5.0,67.0
70.0,65.0,70.1,5.0,65.0
70.0,65.0,70.1,5.0,64.5
70.0,65.0,70.1,5.0,62.5
70.0,65.0,70.1,5.0,62.5
70.0,65.0,70.1,6.0,70.0
70.0,65.0,70.1,6.0,70.0
70.0,65.0,70.1,6.0,67.0
70.0,65.0,70.1,6.0,65.0
70.0,65.0,70.1,6.0,65.0
70.0,65.0,70.1,6.0,63.0
70.0,65.0,70.1,7.0,79.0
70.0,65.0,70.1,7.0,75.0
70.0,65.0,70.1,7.0,71.0
70.0,65.0,70.1,7.0,69.0
70.0,65.0,70.1,7.0,67.0
70.0,65.0,70.1,7.0,65.7
70.0,65.0,70.1,7.0,62.0
70.0,65.0,70.1,3.0,73.0
70.0,65.0,70.1,3.0,72.5
70.0,65.0,70.1,3.0,65.0
70.0,65.0,70.1,2.0,69.0
70.0,65.0,70.1,2.0,69.0
70.0,64.7,69.938,7.0,72.0
70.0,64.7,69.938,7.0,70.0
70.0,64.7,69.938,7.0,68.7
70.0,64.7,69.938,7.0,66.5
70.0,64.7,69.938,7.0,65.5
70.0,64.7,69.938,7.0,64.7
70.0,64.7,69.938,7.0,64.5
70.0,64.0,69.56,7.0,70.7
70.0,64.0,69.56,7.0,70.0
70.0,64.0,69.56,7.0,68.0
70.0,64.0,69.56,7.0,67.0
70.0,64.0,69.56,7.0,66.0
70.0,64.0,69.56,7.0,65.0
70.0,64.0,69.56,7.0,67.0
70.0,64.0,69.56,4.0,70.0
70.0,64.0,69.56,4.0,68.0
70.0,64.0,69.56,4.0,66.7
70.0,64.0,69.56,4.0,65.5
70.0,64.2,69.668,5.0,72.0
70.0,64.2,69.668,5.0,70.0
70.0,64.2,69.668,5.0,62.5
70.0,64.2,69.668,5.0,61.2
70.0,64.2,69.668,5.0,60.1
70.5,64.0,69.81,8.0,74.0
70.5,64.0,69.81,8.0,69.5
70.5,64.0,69.81,8.0,69.0
70.5,64.0,69.81,8.0,68.0
70.5,64.0,69.81,8.0,68.0
70.5,64.0,69.81,8.0,68.0
70.5,64.0,69.81,8.0,65.5
70.5,64.0,69.81,8.0,65.0
70.5,64.5,70.08000000000001,1.0,60.0
70.0,64.0,69.56,4.0,68.0
70.0,64.0,69.56,4.0,65.0
70.0,64.0,69.56,4.0,64.0
70.0,64.0,69.56,4.0,62.0
70.0,64.0,69.56,9.0,71.0
70.0,64.0,69.56,9.0,70.0
70.0,64.0,69.56,9.0,70.0
70.0,64.0,69.56,9.0,70.0
70.0,64.0,69.56,9.0,69.5
70.0,64.0,69.56,9.0,68.5
70.0,64.0,69.56,9.0,69.0
70.0,64.0,69.56,9.0,65.0
70.0,64.0,69.56,9.0,64.0
70.0,63.7,69.398,8.0,70.0
70.0,63.7,69.398,8.0,67.0
70.0,63.7,69.398,8.0,65.5
70.0,63.7,69.398,8.0,63.7
70.0,63.7,69.398,8.0,63.2
70.0,63.7,69.398,8.0,62.5
70.0,63.7,69.398,8.0,62.2
70.0,63.7,69.398,8.0,61.0
70.5,63.0,69.27000000000001,4.0,70.0
70.5,63.0,69.27000000000001,4.0,68.5
70.5,63.0,69.27000000000001,4.0,65.5
70.5,63.0,69.27000000000001,4.0,63.5
70.5,63.0,69.27000000000001,5.0,72.5
70.5,63.0,69.27000000000001,5.0,69.0
70.5,63.0,69.27000000000001,5.0,67.0
70.5,63.0,69.27000000000001,5.0,64.5
70.5,63.0,69.27000000000001,5.0,64.0
70.0,63.5,69.28999999999999,4.0,71.0
70.0,63.5,69.28999999999999,4.0,67.5
70.0,63.5,69.28999999999999,4.0,67.5
70.0,63.5,69.28999999999999,4.0,63.5
70.0,63.0,69.02000000000001,4.0,68.0
70.0,63.0,69.02000000000001,4.0,67.0
70.0,63.0,69.02000000000001,4.0,63.7
70.0,63.0,69.02000000000001,4.0,62.0
70.0,63.0,69.02000000000001,4.0,70.0
70.0,63.0,69.02000000000001,4.0,66.5
70.0,63.0,69.02000000000001,4.0,62.0
70.0,63.0,69.02000000000001,4.0,61.0
70.5,62.0,68.73,8.0,72.0
70.5,62.0,68.73,8.0,70.0
70.5,62.0,68.73,8.0,69.5
70.5,62.0,68.73,8.0,69.5
70.5,62.0,68.73,8.0,68.0
70.5,62.0,68.73,8.0,65.0
70.5,62.0,68.73,8.0,64.0
70.5,62.0,68.73,8.0,63.0
70.3,62.7,69.00800000000001,7.0,70.7
70.3,62.7,69.00800000000001,7.0,69.7
70.3,62.7,69.00800000000001,7.0,69.2
70.3,62.7,69.00800000000001,7.0,65.2
70.3,62.7,69.00800000000001,7.0,64.0
70.3,62.7,69.00800000000001,7.0,63.5
70.3,62.7,69.00800000000001,7.0,63.2
70.5,62.0,68.73,3.0,72.0
70.5,62.0,68.73,3.0,72.0
70.5,62.0,68.73,3.0,60.0
70.0,61.0,67.94,2.0,71.2
70.0,61.0,67.94,2.0,67.0
70.0,60.0,67.4,4.0,67.0
70.0,60.0,67.4,4.0,64.5
70.0,60.0,67.4,4.0,65.0
70.0,60.0,67.4,4.0,63.0
70.0,60.0,67.4,2.0,65.0
70.0,60.0,67.4,2.0,65.0
70.0,58.5,66.59,3.0,71.5
70.0,58.5,66.59,3.0,64.5
70.0,58.5,66.59,3.0,63.0
70.0,58.0,66.32,5.0,72.0
70.0,58.0,66.32,5.0,66.0
70.0,58.0,66.32,5.0,66.0
70.0,58.0,66.32,5.0,65.0
70.0,58.0,66.32,5.0,63.0
69.0,68.5,71.49000000000001,10.0,75.0
69.0,68.5,71.49000000000001,10.0,71.0
69.0,68.5,71.49000000000001,10.0,70.0
69.0,68.5,71.49000000000001,10.0,66.0
69.0,68.5,71.49000000000001,10.0,66.0
69.0,68.5,71.49000000000001,10.0,65.5
69.0,68.5,71.49000000000001,10.0,65.0
69.0,68.5,71.49000000000001,10.0,65.0
69.0,68.5,71.49000000000001,10.0,64.0
69.0,68.5,71.49000000000001,10.0,64.0
69.0,67.0,70.68,1.0,64.0
69.0,66.0,70.14,8.0,73.0
69.0,66.0,70.14,8.0,72.0
69.0,66.0,70.14,8.0,71.7
69.0,66.0,70.14,8.0,71.5
69.0,66.0,70.14,8.0,65.5
69.0,66.0,70.14,8.0,65.0
69.0,66.0,70.14,8.0,62.7
69.0,66.0,70.14,8.0,62.5
69.0,66.0,70.14,3.0,71.2
69.0,66.0,70.14,3.0,71.0
69.0,66.0,70.14,3.0,70.0
69.0,66.7,70.518,4.0,75.0
69.0,66.7,70.518,4.0,74.0
69.0,66.7,70.518,4.0,72.0
69.0,66.7,70.518,4.0,68.5
69.0,66.0,70.14,6.0,70.0
69.0,66.0,70.14,6.0,68.5
69.0,66.0,70.14,6.0,68.0
69.0,66.0,70.14,6.0,65.0
69.0,66.0,70.14,6.0,63.0
69.0,66.0,70.14,6.0,62.5
69.0,66.5,70.41,7.0,73.0
69.0,66.5,70.41,7.0,71.0
69.0,66.5,70.41,7.0,70.5
69.0,66.5,70.41,7.0,70.5
69.0,66.5,70.41,7.0,67.0
69.0,66.5,70.41,7.0,66.0
69.0,66.5,70.41,7.0,61.0
69.5,66.5,70.66,4.0,70.5
69.5,66.5,70.66,4.0,67.5
69.5,66.5,70.66,4.0,64.5
69.5,66.5,70.66,4.0,64.0
69.0,66.5,70.41,6.0,71.0
69.0,66.5,70.41,6.0,68.5
69.0,66.5,70.41,6.0,67.5
69.0,66.5,70.41,6.0,66.0
69.0,66.5,70.41,6.0,63.0
69.0,66.5,70.41,6.0,63.0
69.5,66.0,70.39,7.0,71.0
69.5,66.0,70.39,7.0,71.0
69.5,66.0,70.39,7.0,70.5
69.5,66.0,70.39,7.0,70.5
69.5,66.0,70.39,7.0,66.5
69.5,66.0,70.39,7.0,65.5
69.5,66.0,70.39,7.0,64.5
69.0,66.0,70.14,9.0,73.0
69.0,66.0,70.14,9.0,72.0
69.0,66.0,70.14,9.0,69.0
69.0,66.0,70.14,9.0,69.0
69.0,66.0,70.14,9.0,66.5
69.0,66.0,70.14,9.0,65.5
69.0,66.0,70.14,9.0,65.5
69.0,66.0,70.14,9.0,65.0
69.0,66.0,70.14,9.0,64.0
69.0,65.0,69.6,7.0,70.0
69.0,65.0,69.6,7.0,68.5
69.0,65.0,69.6,7.0,67.0
69.0,65.0,69.6,7.0,65.0
69.0,65.0,69.6,7.0,64.0
69.0,65.0,69.6,7.0,63.5
69.0,65.0,69.6,7.0,61.0
69.5,64.5,69.58000000000001,7.0,69.7
69.5,64.5,69.58000000000001,7.0,68.0
69.5,64.5,69.58000000000001,7.0,60.0
69.5,64.5,69.58000000000001,7.0,65.2
69.5,64.5,69.58000000000001,7.0,64.5
69.5,64.5,69.58000000000001,7.0,63.7
69.5,64.5,69.58000000000001,7.0,60.0
69.2,64.0,69.16,4.0,71.7
69.2,64.0,69.16,4.0,66.5
69.2,64.0,69.16,4.0,65.0
69.2,64.0,69.16,4.0,63.5
69.0,63.5,68.78999999999999,1.0,65.5
69.0,63.0,68.52000000000001,3.0,69.0
69.0,63.0,68.52000000000001,3.0,67.5
69.0,63.0,68.52000000000001,3.0,63.5
69.0,63.0,68.52000000000001,1.0,72.0
69.0,63.0,68.52000000000001,6.0,73.0
69.0,63.0,68.52000000000001,6.0,70.0
69.0,63.0,68.52000000000001,6.0,70.0
69.0,63.0,68.52000000000001,6.0,64.0
69.0,63.0,68.52000000000001,6.0,66.0
69.0,63.0,68.52000000000001,6.0,62.0
69.0,63.5,68.78999999999999,7.0,70.5
69.0,63.5,68.78999999999999,7.0,67.0
69.0,63.5,68.78999999999999,7.0,66.0
69.0,63.5,68.78999999999999,7.0,65.0
69.0,63.5,68.78999999999999,7.0,63.0
69.0,63.5,68.78999999999999,7.0,62.0
69.0,63.5,68.78999999999999,7.0,61.0
69.0,63.5,68.78999999999999,3.0,70.5
69.0,63.5,68.78999999999999,3.0,63.7
69.0,63.5,68.78999999999999,3.0,63.0
69.7,62.0,68.33000000000001,1.0,62.5
69.5,62.0,68.23,3.0,73.0
69.5,62.0,68.23,3.0,72.0
69.5,62.0,68.23,3.0,69.0
69.0,62.0,67.98,5.0,73.0
69.0,62.0,67.98,5.0,71.0
69.0,62.0,67.98,5.0,71.0
69.0,62.0,67.98,5.0,69.0
69.0,62.0,67.98,5.0,63.0
69.5,62.0,68.23,11.0,72.0
69.5,62.0,68.23,11.0,70.0
69.5,62.0,68.23,11.0,67.8
69.5,62.0,68.23,11.0,65.2
69.5,62.0,68.23,11.0,64.7
69.5,62.0,68.23,11.0,64.5
69.5,62.0,68.23,11.0,63.5
69.5,62.0,68.23,11.0,63.5
69.5,62.0,68.23,11.0,62.5
69.5,62.0,68.23,11.0,62.0
69.5,62.0,68.23,11.0,61.5
69.0,62.5,68.25,8.0,71.0
69.0,62.5,68.25,8.0,70.0
69.0,62.5,68.25,8.0,70.0
69.0,62.5,68.25,8.0,69.0
69.0,62.5,68.25,8.0,63.5
69.0,62.5,68.25,8.0,62.5
69.0,62.5,68.25,8.0,62.5
69.0,62.5,68.25,8.0,62.0
69.0,62.0,67.98,4.0,72.0
69.0,62.0,67.98,4.0,68.0
69.0,62.0,67.98,4.0,66.0
69.0,62.0,67.98,4.0,66.0
69.5,61.0,67.69,5.0,70.0
69.5,61.0,67.69,5.0,69.5
69.5,61.0,67.69,5.0,69.0
69.5,61.0,67.69,5.0,63.0
69.5,61.0,67.69,5.0,62.0
69.0,61.0,67.44,9.0,68.0
69.0,61.0,67.44,9.0,68.0
69.0,61.0,67.44,9.0,67.5
69.0,61.0,67.44,9.0,64.0
69.0,61.0,67.44,9.0,63.0
69.0,61.0,67.44,9.0,63.0
69.0,61.0,67.44,9.0,63.5
69.0,61.0,67.44,9.0,62.0
69.0,61.0,67.44,9.0,62.0
69.0,60.0,66.9,3.0,70.5
69.0,60.0,66.9,3.0,68.0
69.0,60.0,66.9,3.0,62.5
69.0,60.0,66.9,4.0,69.0
69.0,60.0,66.9,4.0,66.0
69.0,60.0,66.9,4.0,61.7
69.0,60.0,66.9,4.0,60.5
69.0,60.5,67.17,1.0,69.5
68.7,70.5,72.42,2.0,71.0
68.7,70.5,72.42,2.0,61.7
68.5,67.0,70.43,3.0,73.0
68.5,67.0,70.43,3.0,71.0
68.5,67.0,70.43,3.0,67.0
68.5,66.5,70.16,11.0,70.0
68.5,66.5,70.16,11.0,69.0
68.5,66.5,70.16,11.0,69.0
68.5,66.5,70.16,11.0,68.7
68.5,66.5,70.16,11.0,68.5
68.5,66.5,70.16,11.0,68.5
68.5,66.5,70.16,11.0,68.0
68.5,66.5,70.16,11.0,68.0
68.5,66.5,70.16,11.0,68.0
68.5,66.5,70.16,11.0,66.2
68.5,66.5,70.16,11.0,63.2
68.0,65.0,69.1,2.0,67.5
68.0,65.0,69.1,2.0,66.0
68.0,65.5,69.37,2.0,66.0
68.0,65.5,69.37,2.0,64.0
68.0,65.5,69.37,7.0,71.7
68.0,65.5,69.37,7.0,71.5
68.0,65.5,69.37,7.0,70.7
68.0,65.5,69.37,7.0,65.5
68.0,65.5,69.37,7.0,66.5
68.0,65.5,69.37,7.0,65.2
68.0,65.5,69.37,7.0,61.5
68.0,65.0,69.1,4.0,72.0
68.0,65.0,69.1,4.0,72.0
68.0,65.0,69.1,4.0,68.0
68.0,65.0,69.1,4.0,66.0
68.5,65.0,69.35,8.0,69.2
68.5,65.0,69.35,8.0,68.0
68.5,65.0,69.35,8.0,66.0
68.5,65.0,69.35,8.0,66.0
68.5,65.0,69.35,8.0,62.0
68.5,65.0,69.35,8.0,61.5
68.5,65.0,69.35,8.0,61.0
68.5,65.0,69.35,8.0,60.0
68.5,65.0,69.35,8.0,72.0
68.5,65.0,69.35,8.0,70.5
68.5,65.0,69.35,8.0,68.7
68.5,65.0,69.35,8.0,68.5
68.5,65.0,69.35,8.0,67.7
68.5,65.0,69.35,8.0,64.0
68.5,65.0,69.35,8.0,63.5
68.5,65.0,69.35,8.0,63.0
68.0,64.0,68.56,10.0,71.0
68.0,64.0,68.56,10.0,68.0
68.0,64.0,68.56,10.0,68.0
68.0,64.0,68.56,10.0,67.0
68.0,64.0,68.56,10.0,65.0
68.0,64.0,68.56,10.0,64.0
68.0,64.0,68.56,10.0,63.0
68.0,64.0,68.56,10.0,63.0
68.0,64.0,68.56,10.0,62.0
68.0,64.0,68.56,10.0,61.0
68.0,64.0,68.56,4.0,66.0
68.0,64.0,68.56,4.0,63.0
68.0,64.0,68.56,4.0,65.5
68.0,64.0,68.56,4.0,62.0
68.0,64.0,68.56,5.0,71.2
68.0,64.0,68.56,5.0,71.2
68.0,64.0,68.56,5.0,69.0
68.0,64.0,68.56,5.0,68.5
68.0,64.0,68.56,5.0,62.5
68.0,64.5,68.83000000000001,1.0,62.0
68.0,64.0,68.56,10.0,69.0
68.0,64.0,68.56,10.0,67.0
68.0,64.0,68.56,10.0,66.0
68.0,64.0,68.56,10.0,66.0
68.0,64.0,68.56,10.0,66.0
68.0,64.0,68.56,10.0,65.0
68.0,64.0,68.56,10.0,65.0
68.0,64.0,68.56,10.0,65.0
68.0,64.0,68.56,10.0,64.0
68.0,64.0,68.56,10.0,63.0
68.0,63.0,68.02000000000001,8.0,70.5
68.0,63.0,68.02000000000001,8.0,70.0
68.0,63.0,68.02000000000001,8.0,68.0
68.0,63.0,68.02000000000001,8.0,66.0
68.0,63.0,68.02000000000001,8.0,66.0
68.0,63.0,68.02000000000001,8.0,66.0
68.0,63.0,68.02000000000001,8.0,62.0
68.0,63.0,68.02000000000001,8.0,61.5
68.5,63.5,68.53999999999999,4.0,73.5
68.5,63.5,68.53999999999999,4.0,70.0
68.5,63.5,68.53999999999999,4.0,69.5
68.5,63.5,68.53999999999999,4.0,65.5
68.0,63.0,68.02000000000001,1.0,67.0
68.0,63.0,68.02000000000001,4.0,70.0
68.0,63.0,68.02000000000001,4.0,68.0
68.0,63.0,68.02000000000001,4.0,64.5
68.0,63.0,68.02000000000001,4.0,64.0
68.0,63.0,68.02000000000001,8.0,71.0
68.0,63.0,68.02000000000001,8.0,68.0
68.0,63.0,68.02000000000001,8.0,66.0
68.0,63.0,68.02000000000001,8.0,65.5
68.0,63.0,68.02000000000001,8.0,65.0
68.0,63.0,68.02000000000001,8.0,63.0
68.0,63.0,68.02000000000001,8.0,62.0
68.0,63.0,68.02000000000001,8.0,62.0
68.0,63.0,68.02000000000001,6.0,67.0
68.0,63.0,68.02000000000001,6.0,67.0
68.0,63.0,68.02000000000001,6.0,66.0
68.0,63.0,68.02000000000001,6.0,64.0
68.0,63.0,68.02000000000001,6.0,63.5
68.0,63.0,68.02000000000001,6.0,61.0
68.5,63.5,68.53999999999999,1.0,68.2
68.0,63.0,68.02000000000001,1.0,70.0
68.2,63.5,68.39,5.0,70.0
68.2,63.5,68.39,5.0,69.0
68.2,63.5,68.39,5.0,67.0
68.2,63.5,68.39,5.0,65.5
68.2,63.5,68.39,5.0,64.5
68.0,62.5,67.75,1.0,68.5
68.7,62.0,67.83000000000001,2.0,67.7
68.7,62.0,67.83000000000001,2.0,61.7
68.0,62.5,67.75,1.0,66.5
68.0,61.0,66.94,5.0,68.5
68.0,61.0,66.94,5.0,68.0
68.0,61.0,66.94,5.0,64.0
