father,mother,midparentHeight,children,parents_product,parents_average,father_midparent_interaction,children_father_interaction,childHeight
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,63.0
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,71.0
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,67.0
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,76.0
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,72.0
71.7,64.5,70.68,4.0,4624.650000000001,68.1,5067.756,286.8,71.0
71.7,64.5,70.68,4.0,4624.650000000001,68.1,5067.756,286.8,66.0
71.7,64.5,70.68,4.0,4624.650000000001,68.1,5067.756,286.8,66.0
71.7,64.5,70.68,4.0,4624.650000000001,68.1,5067.756,286.8,70.5
71.0,64.0,70.06,3.0,4544.0,67.5,4974.26,213.0,72.0
71.0,64.0,70.06,3.0,4544.0,67.5,4974.26,213.0,72.0
71.0,64.0,70.06,3.0,4544.0,67.5,4974.26,213.0,71.0
71.5,64.5,70.58000000000001,7.0,4611.75,68.0,5046.470000000001,500.5,69.0
71.5,64.5,70.58000000000001,7.0,4611.75,68.0,5046.470000000001,500.5,66.0
71.5,64.5,70.58000000000001,7.0,4611.75,68.0,5046.470000000001,500.5,65.0
71.5,64.5,70.58000000000001,7.0,4611.75,68.0,5046.470000000001,500.5,73.0
71.5,64.5,70.58000000000001,7.0,4611.75,68.0,5046.470000000001,500.5,65.2
71.5,64.5,70.58000000000001,7.0,4611.75,68.0,5046.470000000001,500.5,68.5
71.5,64.5,70.58000000000001,7.0,4611.75,68.0,5046.470000000001,500.5,67.7
71.0,64.5,70.33000000000001,2.0,4579.5,67.75,4993.430000000001,142.0,68.0
71.0,64.5,70.33000000000001,2.0,4579.5,67.75,4993.430000000001,142.0,68.0
71.2,63.0,69.62,2.0,4485.6,67.1,4956.944,142.4,62.0
71.2,63.0,69.62,2.0,4485.6,67.1,4956.944,142.4,68.0
71.0,63.5,69.78999999999999,5.0,4508.5,67.25,4955.089999999999,355.0,68.0
71.0,63.5,69.78999999999999,5.0,4508.5,67.25,4955.089999999999,355.0,67.5
71.0,63.5,69.78999999999999,5.0,4508.5,67.25,4955.089999999999,355.0,66.5
71.0,63.5,69.78999999999999,5.0,4508.5,67.25,4955.089999999999,355.0,66.5
71.0,63.5,69.78999999999999,5.0,4508.5,67.25,4955.089999999999,355.0,66.0
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,65.5
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,65.0
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,72.0
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,71.0
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,70.5
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,67.0
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,68.0
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,68.0
71.0,63.0,69.52000000000001,9.0,4473.0,67.0,4935.920000000001,639.0,68.0
71.0,63.0,69.52000000000001,4.0,4473.0,67.0,4935.920000000001,284.0,72.0
71.0,63.0,69.52000000000001,4.0,4473.0,67.0,4935.920000000001,284.0,71.0
71.0,63.0,69.52000000000001,4.0,4473.0,67.0,4935.920000000001,284.0,70.0
71.0,63.0,69.52000000000001,4.0,4473.0,67.0,4935.920000000001,284.0,66.0
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,64.5
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,64.5
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,62.0
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,73.0
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,62.0
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,67.5
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,64.5
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,71.0
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,67.0
71.0,62.0,68.98,5.0,4402.0,66.5,4897.58,355.0,66.0
71.0,62.5,69.25,5.0,4437.5,66.75,4916.75,355.0,65.0
71.0,62.5,69.25,5.0,4437.5,66.75,4916.75,355.0,63.5
71.0,62.5,69.25,5.0,4437.5,66.75,4916.75,355.0,71.0
71.0,62.5,69.25,5.0,4437.5,66.75,4916.75,355.0,70.0
71.0,62.5,69.25,5.0,4437.5,66.75,4916.75,355.0,70.0
71.0,62.0,68.98,7.0,4402.0,66.5,4897.58,497.0,64.0
71.0,62.0,68.98,7.0,4402.0,66.5,4897.58,497.0,65.0
71.0,62.0,68.98,7.0,4402.0,66.5,4897.58,497.0,65.0
71.0,62.0,68.98,7.0,4402.0,66.5,4897.58,497.0,64.0
71.0,62.0,68.98,7.0,4402.0,66.5,4897.58,497.0,63.0
71.0,62.0,68.98,7.0,4402.0,66.5,4897.58,497.0,63.0
71.0,62.0,68.98,7.0,4402.0,66.5,4897.58,497.0,71.0
71.0,61.0,68.44,1.0,4331.0,66.0,4859.24,71.0,71.0
71.0,58.0,66.82,2.0,4118.0,64.5,4744.219999999999,142.0,70.0
71.0,58.0,66.82,2.0,4118.0,64.5,4744.219999999999,142.0,63.5
70.0,69.0,72.26,4.0,4830.0,69.5,5058.200000000001,280.0,71.0
70.0,69.0,72.26,4.0,4830.0,69.5,5058.200000000001,280.0,70.0
70.0,69.0,72.26,4.0,4830.0,69.5,5058.200000000001,280.0,64.5
70.0,69.0,72.26,4.0,4830.0,69.5,5058.200000000001,280.0,62.5
70.0,69.0,72.26,6.0,4830.0,69.5,5058.200000000001,420.0,61.5
70.0,69.0,72.26,6.0,4830.0,69.5,5058.200000000001,420.0,72.0
70.0,69.0,72.26,6.0,4830.0,69.5,5058.200000000001,420.0,70.5
70.0,69.0,72.26,6.0,4830.0,69.5,5058.200000000001,420.0,70.5
70.0,69.0,72.26,6.0,4830.0,69.5,5058.200000000001,420.0,64.5
70.0,69.0,72.26,6.0,4830.0,69.5,5058.200000000001,420.0,60.0
70.0,68.0,71.72,1.0,4760.0,69.0,5020.4,70.0,70.0
70.0,67.0,71.18,5.0,4690.0,68.5,4982.6,350.0,64.0
70.0,67.0,71.18,5.0,4690.0,68.5,4982.6,350.0,64.0
70.0,67.0,71.18,5.0,4690.0,68.5,4982.6,350.0,64.0
70.0,67.0,71.18,5.0,4690.0,68.5,4982.6,350.0,62.5
70.0,67.0,71.18,5.0,4690.0,68.5,4982.6,350.0,70.5
70.0,67.0,71.18,1.0,4690.0,68.5,4982.6,70.0,70.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,69.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,69.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,66.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,64.5
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,64.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,62.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,71.5
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,69.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,71.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,70.0
70.0,66.5,70.91,11.0,4655.0,68.25,4963.7,770.0,69.0
70.5,65.0,70.35,4.0,4582.5,67.75,4959.674999999999,282.0,69.0
70.5,65.0,70.35,4.0,4582.5,67.75,4959.674999999999,282.0,70.0
70.5,65.0,70.35,4.0,4582.5,67.75,4959.674999999999,282.0,68.7
70.5,65.0,70.35,4.0,4582.5,67.75,4959.674999999999,282.0,68.0
70.5,65.0,70.35,5.0,4582.5,67.75,4959.674999999999,352.5,66.0
70.5,65.0,70.35,5.0,4582.5,67.75,4959.674999999999,352.5,64.0
70.5,65.0,70.35,5.0,4582.5,67.75,4959.674999999999,352.5,62.0
70.5,65.0,70.35,5.0,4582.5,67.75,4959.674999999999,352.5,75.0
70.5,65.0,70.35,5.0,4582.5,67.75,4959.674999999999,352.5,70.0
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,69.0
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,66.0
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,64.0
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,60.0
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,67.5
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,73.0
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,72.0
70.0,65.0,70.1,8.0,4550.0,67.5,4907.0,560.0,72.0
70.0,65.0,70.1,5.0,4550.0,67.5,4907.0,350.0,66.5
70.0,65.0,70.1,5.0,4550.0,67.5,4907.0,350.0,69.2
70.0,65.0,70.1,5.0,4550.0,67.5,4907.0,350.0,67.2
70.0,65.0,70.1,5.0,4550.0,67.5,4907.0,350.0,66.5
70.0,65.0,70.1,5.0,4550.0,67.5,4907.0,350.0,66.0
70.0,65.0,70.1,6.0,4550.0,67.5,4907.0,420.0,66.0
70.0,65.0,70.1,6.0,4550.0,67.5,4907.0,420.0,64.2
70.0,65.0,70.1,6.0,4550.0,67.5,4907.0,420.0,63.7
70.0,65.0,70.1,6.0,4550.0,67.5,4907.0,420.0,72.0
70.0,65.0,70.1,6.0,4550.0,67.5,4907.0,420.0,70.2
70.0,65.0,70.1,6.0,4550.0,67.5,4907.0,420.0,69.0
70.0,65.0,70.1,7.0,4550.0,67.5,4907.0,490.0,68.5
70.0,65.0,70.1,7.0,4550.0,67.5,4907.0,490.0,68.0
70.0,65.0,70.1,7.0,4550.0,67.5,4907.0,490.0,65.0
70.0,65.0,70.1,7.0,4550.0,67.5,4907.0,490.0,61.5
70.0,65.0,70.1,7.0,4550.0,67.5,4907.0,490.0,61.0
70.0,65.0,70.1,7.0,4550.0,67.5,4907.0,490.0,61.0
70.0,65.0,70.1,7.0,4550.0,67.5,4907.0,490.0,73.0
70.0,65.0,70.1,3.0,4550.0,67.5,4907.0,210.0,72.0
70.0,65.0,70.1,3.0,4550.0,67.5,4907.0,210.0,70.5
70.0,65.0,70.1,3.0,4550.0,67.5,4907.0,210.0,65.0
70.0,65.0,70.1,2.0,4550.0,67.5,4907.0,140.0,65.0
70.0,65.0,70.1,2.0,4550.0,67.5,4907.0,140.0,64.5
70.0,64.7,69.938,7.0,4529.0,67.35,4895.66,490.0,63.0
70.0,64.7,69.938,7.0,4529.0,67.35,4895.66,490.0,62.0
70.0,64.7,69.938,7.0,4529.0,67.35,4895.66,490.0,67.0
70.0,64.7,69.938,7.0,4529.0,67.35,4895.66,490.0,65.0
70.0,64.7,69.938,7.0,4529.0,67.35,4895.66,490.0,64.5
70.0,64.7,69.938,7.0,4529.0,67.35,4895.66,490.0,62.5
70.0,64.7,69.938,7.0,4529.0,67.35,4895.66,490.0,62.5
70.0,64.0,69.56,7.0,4480.0,67.0,4869.2,490.0,70.0
70.0,64.0,69.56,7.0,4480.0,67.0,4869.2,490.0,70.0
70.0,64.0,69.56,7.0,4480.0,67.0,4869.2,490.0,67.0
70.0,64.0,69.56,7.0,4480.0,67.0,4869.2,490.0,65.0
70.0,64.0,69.56,7.0,4480.0,67.0,4869.2,490.0,65.0
70.0,64.0,69.56,7.0,4480.0,67.0,4869.2,490.0,63.0
70.0,64.0,69.56,7.0,4480.0,67.0,4869.2,490.0,79.0
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,75.0
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,71.0
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,69.0
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,67.0
70.0,64.2,69.668,5.0,4494.0,67.1,4876.76,350.0,65.7
70.0,64.2,69.668,5.0,4494.0,67.1,4876.76,350.0,62.0
70.0,64.2,69.668,5.0,4494.0,67.1,4876.76,350.0,73.0
70.0,64.2,69.668,5.0,4494.0,67.1,4876.76,350.0,72.5
70.0,64.2,69.668,5.0,4494.0,67.1,4876.76,350.0,65.0
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,69.0
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,69.0
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,72.0
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,70.0
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,68.7
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,66.5
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,65.5
70.5,64.0,69.81,8.0,4512.0,67.25,4921.6050000000005,564.0,64.7
70.5,64.5,70.08000000000001,1.0,4547.25,67.5,4940.640000000001,70.5,64.5
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,70.7
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,70.0
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,68.0
70.0,64.0,69.56,4.0,4480.0,67.0,4869.2,280.0,67.0
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,66.0
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,65.0
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,67.0
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,70.0
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,68.0
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,66.7
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,65.5
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,72.0
70.0,64.0,69.56,9.0,4480.0,67.0,4869.2,630.0,70.0
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,62.5
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,61.2
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,60.1
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,74.0
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,69.5
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,69.0
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,68.0
70.0,63.7,69.398,8.0,4459.0,66.85,4857.86,560.0,68.0
70.5,63.0,69.27000000000001,4.0,4441.5,66.75,4883.535000000001,282.0,68.0
70.5,63.0,69.27000000000001,4.0,4441.5,66.75,4883.535000000001,282.0,65.5
70.5,63.0,69.27000000000001,4.0,4441.5,66.75,4883.535000000001,282.0,65.0
70.5,63.0,69.27000000000001,4.0,4441.5,66.75,4883.535000000001,282.0,60.0
70.5,63.0,69.27000000000001,5.0,4441.5,66.75,4883.535000000001,352.5,68.0
70.5,63.0,69.27000000000001,5.0,4441.5,66.75,4883.535000000001,352.5,65.0
70.5,63.0,69.27000000000001,5.0,4441.5,66.75,4883.535000000001,352.5,64.0
70.5,63.0,69.27000000000001,5.0,4441.5,66.75,4883.535000000001,352.5,62.0
70.5,63.0,69.27000000000001,5.0,4441.5,66.75,4883.535000000001,352.5,71.0
70.0,63.5,69.28999999999999,4.0,4445.0,66.75,4850.299999999999,280.0,70.0
70.0,63.5,69.28999999999999,4.0,4445.0,66.75,4850.299999999999,280.0,70.0
70.0,63.5,69.28999999999999,4.0,4445.0,66.75,4850.299999999999,280.0,70.0
70.0,63.5,69.28999999999999,4.0,4445.0,66.75,4850.299999999999,280.0,69.5
70.0,63.0,69.02000000000001,4.0,4410.0,66.5,4831.400000000001,280.0,68.5
70.0,63.0,69.02000000000001,4.0,4410.0,66.5,4831.400000000001,280.0,69.0
70.0,63.0,69.02000000000001,4.0,4410.0,66.5,4831.400000000001,280.0,65.0
70.0,63.0,69.02000000000001,4.0,4410.0,66.5,4831.400000000001,280.0,64.0
70.0,63.0,69.02000000000001,4.0,4410.0,66.5,4831.400000000001,280.0,70.0
